time_s,temperature_C,pwm,direction
4.5,21.56,0,HEAT
5.0,21.56,0,HEAT
5.5,21.56,0,HEAT
6.16,21.56,25,HEAT
6.63,21.56,50,HEAT
7.12,21.56,76,HEAT
7.62,21.56,76,HEAT
8.12,21.56,76,HEAT
8.62,21.56,76,HEAT
9.12,21.56,76,HEAT
9.62,21.56,76,HEAT
10.12,21.56,76,HEAT
10.62,21.56,76,HEAT
11.12,21.56,76,HEAT
11.62,21.56,76,HEAT
12.12,21.56,76,HEAT
12.62,21.56,76,HEAT
13.12,21.56,76,HEAT
13.62,21.56,76,HEAT
14.12,21.56,76,HEAT
14.62,21.56,76,HEAT
15.12,21.56,76,HEAT
15.62,21.56,76,HEAT
16.12,21.56,76,HEAT
16.62,21.56,76,HEAT
17.12,21.56,76,HEAT
17.62,21.56,76,HEAT
18.12,21.56,76,HEAT
18.62,21.56,76,HEAT
19.12,21.56,76,HEAT
19.62,21.56,76,HEAT
20.12,21.56,76,HEAT
20.62,21.56,76,HEAT
21.12,21.56,76,HEAT
21.62,21.56,76,HEAT
22.12,21.56,76,HEAT
22.62,21.56,76,HEAT
23.12,21.56,76,HEAT
23.62,21.56,76,HEAT
24.12,21.56,76,HEAT
24.62,21.56,76,HEAT
25.12,21.56,76,HEAT
25.62,21.56,76,HEAT
26.12,21.56,76,HEAT
26.62,21.56,76,HEAT
27.12,21.56,76,HEAT
27.62,21.56,76,HEAT
28.12,21.56,76,HEAT
28.62,21.56,76,HEAT
29.12,21.56,76,HEAT
29.62,21.56,76,HEAT
30.12,21.56,76,HEAT
30.62,21.56,76,HEAT
31.12,21.56,76,HEAT
31.62,21.56,76,HEAT
32.12,21.56,76,HEAT
32.62,21.56,76,HEAT
33.12,21.56,76,HEAT
33.62,21.56,76,HEAT
34.12,21.56,76,HEAT
34.62,21.56,76,HEAT
35.12,21.56,76,HEAT
35.62,21.56,76,HEAT
36.12,21.56,76,HEAT
36.62,21.56,76,HEAT
37.12,21.64,76,HEAT
37.62,21.56,76,HEAT
38.12,21.56,76,HEAT
38.62,21.56,76,HEAT
39.12,21.56,76,HEAT
39.62,21.56,76,HEAT
40.12,21.56,76,HEAT
40.62,21.56,76,HEAT
41.12,21.56,76,HEAT
41.62,21.56,76,HEAT
42.12,21.56,76,HEAT
42.62,21.56,76,HEAT
43.12,21.56,76,HEAT
43.62,21.73,76,HEAT
